code,open_date,close_date,quantity,buy_price,sell_price,gross_pnl,gross_return,holding_days
511880.XSHG,2025-01-02,2025-02-05,9900,100.081000,100.182000,999.900000,0.001009,34
600421.XSHG,2025-02-05,2025-02-06,200,5.320000,5.860000,108.000000,0.101504,1
600193.XSHG,2025-02-05,2025-02-06,1200,2.620000,3.210000,708.000000,0.225191,1
600193.XSHG,2025-02-05,2025-02-10,200,2.620000,3.300000,136.000000,0.259542,5
600193.XSHG,2025-02-05,2025-02-12,900,2.620000,3.900000,1152.000000,0.488550,7
300478.XSHE,2025-02-10,2025-02-12,300,9.660000,11.480000,546.000000,0.188406,2
002848.XSHE,2025-02-05,2025-02-18,600,5.740000,7.350000,966.000000,0.280488,13
603813.XSHG,2025-02-05,2025-02-18,100,9.210000,10.790000,158.000000,0.171553,13
600421.XSHG,2025-02-05,2025-02-18,1900,5.320000,8.300000,5662.000000,0.560150,13
300478.XSHE,2025-02-10,2025-02-18,400,9.660000,15.740000,2432.000000,0.629400,8
600421.XSHG,2025-02-05,2025-02-19,500,5.320000,9.080000,1880.000000,0.706767,14
603813.XSHG,2025-02-05,2025-02-20,500,9.210000,11.860000,1325.000000,0.287731,15
603316.XSHG,2025-02-18,2025-02-20,100,5.060000,5.320000,26.000000,0.051383,2
600193.XSHG,2025-02-05,2025-02-21,300,2.620000,4.080000,438.000000,0.557252,16
605081.XSHG,2025-02-05,2025-02-26,400,8.320000,10.200000,752.000000,0.225962,21
603813.XSHG,2025-02-05,2025-02-26,1500,9.210000,13.020000,5715.000000,0.413681,21
603813.XSHG,2025-02-10,2025-02-26,500,10.000000,13.020000,1510.000000,0.302000,16
600421.XSHG,2025-02-05,2025-02-26,1100,5.320000,7.180000,2046.000000,0.349624,21
600421.XSHG,2025-02-10,2025-02-26,1100,6.390000,7.180000,869.000000,0.123631,16
002620.XSHE,2025-02-05,2025-02-26,6300,2.990000,3.580000,3717.000000,0.197324,21
600193.XSHG,2025-02-05,2025-02-26,5000,2.620000,3.910000,6450.000000,0.492366,21
600193.XSHG,2025-02-18,2025-02-26,200,3.900000,3.910000,2.000000,0.002564,8
603316.XSHG,2025-02-18,2025-02-28,700,5.060000,6.480000,994.000000,0.280632,10
600421.XSHG,2025-02-10,2025-03-03,1700,6.390000,7.030000,1088.000000,0.100156,21
600421.XSHG,2025-02-13,2025-03-03,1300,6.420000,7.030000,793.000000,0.095016,18
002620.XSHE,2025-02-05,2025-03-03,300,2.990000,3.590000,180.000000,0.200669,26
002620.XSHE,2025-02-10,2025-03-03,5800,3.270000,3.590000,1856.000000,0.097859,21
000929.XSHE,2025-02-05,2025-03-03,100,6.260000,6.760000,50.000000,0.079872,26
300478.XSHE,2025-02-10,2025-03-03,1400,9.660000,13.330000,5138.000000,0.379917,21
300478.XSHE,2025-02-26,2025-03-03,100,14.210000,13.330000,-88.000000,-0.061928,5
603813.XSHG,2025-02-10,2025-03-03,1400,10.000000,14.080000,5712.000000,0.408000,21
603813.XSHG,2025-02-13,2025-03-03,500,10.150000,14.080000,1965.000000,0.387192,18
002620.XSHE,2025-02-13,2025-03-06,5800,3.390000,3.720000,1914.000000,0.097345,21
002620.XSHE,2025-02-18,2025-03-06,400,3.620000,3.720000,40.000000,0.027624,16
002856.XSHE,2025-02-13,2025-03-06,300,9.150000,9.040000,-33.000000,-0.012022,21
000691.XSHE,2025-02-05,2025-03-06,500,2.860000,3.130000,135.000000,0.094406,29
